ID,Activity_Name,Expected_Start_Date,Contractor_Name,Region,Complexity_Level
600,أعمال اللاندسكيب والتشجير,2024-05-24,شركة روشن العقارية,الرياض,Low
601,صب أعمدة الدور الأرضي,2023-06-05,شركة راشد الراشد,الجوف,Medium
602,اللياسة الداخلية,2023-09-28,شركة راشد الراشد,جازان,Low
603,صب سقف الدور الأرضي,2022-03-21,مؤسسة بن سمار للمقاولات,القصيم,High
604,اللياسة الداخلية,2022-09-27,شركة جرير للمقاولات,جازان,Medium
605,صب الخرسانة المسلحة للقواعد,2024-05-13,شركة الفوزان للتجارة والمقاولات,جازان,High
606,صب الخرسانة المسلحة للقواعد,2022-02-03,شركة الفوزان للتجارة والمقاولات,نجران,Medium
607,تركيب الأدوات الصحية,2023-01-05,مجموعة بن لادن السعودية,الباحة,High
608,أعمال اللاندسكيب والتشجير,2023-10-18,شركة راشد الراشد,المدينة المنورة,High
609,تركيب البلاط والرخام,2023-01-04,شركة جرير للمقاولات,المنطقة الشرقية,Low
610,أعمال الدهانات الأولية,2022-10-28,شركة راشد الراشد,الحدود الشمالية,Medium
611,بناء جدران القبو,2022-07-04,شركة روشن العقارية,الرياض,Low
612,أعمال المباني (الطوب),2022-04-06,شركة نسما للمقاولات,جازان,Low
613,أعمال الديكور والجبس,2023-03-05,شركة نسما للمقاولات,الجوف,Low
614,أعمال الحفر والردم,2023-06-01,شركة أرامكو السعودية (إشراف/تنفيذ),الجوف,Medium
615,تركيب الواجهات الزجاجية,2024-06-12,شركة جرير للمقاولات,نجران,Medium
616,اللياسة الخارجية,2024-09-08,مؤسسة بن سمار للمقاولات,عسير,High
617,أعمال الديكور والجبس,2024-05-31,مؤسسة بن سمار للمقاولات,مكة المكرمة,High
618,صب الخرسانة المسلحة للقواعد,2022-03-16,شركة الفنار,القصيم,Medium
619,أعمال الدهانات الأولية,2024-06-01,شركة المباني,نجران,Medium
620,صب الخرسانة العادية للأساسات,2023-06-28,شركة دريك آند سكل,عسير,Medium
621,تركيب المصاعد,2024-05-31,شركة دريك آند سكل,القصيم,Low
622,صب سقف الدور الأرضي,2022-08-20,مؤسسة بن سمار للمقاولات,جازان,High
623,صب الخرسانة العادية للأساسات,2023-05-02,شركة المباني,تبوك,High
624,صب أعمدة الدور الأرضي,2022-01-29,شركة راشد الراشد,المنطقة الشرقية,Medium
625,اللياسة الخارجية,2023-05-10,شركة أرامكو السعودية (إشراف/تنفيذ),المنطقة الشرقية,Medium
626,تركيب الأدوات الصحية,2022-09-08,شركة الخضري للمقاولات,الرياض,High
627,اللياسة الخارجية,2022-04-26,شركة المقاولون العرب,الحدود الشمالية,Low
628,أعمال العزل المائي للسطح,2023-05-30,شركة روشن العقارية,القصيم,High
629,تركيب المصاعد,2024-09-06,شركة جرير للمقاولات,مكة المكرمة,Low
630,الدهانات النهائية,2023-11-26,شركة راشد الراشد,المنطقة الشرقية,Low
631,بناء جدران القبو,2023-05-21,شركة الكفاح للمقاولات,مكة المكرمة,Medium
632,صب أعمدة الدور الأرضي,2023-06-04,شركة روشن العقارية,الرياض,High
633,أعمال الحفر والردم,2023-12-03,شركة العيوني للاستثمار والمقاولات,الباحة,Low
634,تركيب الأدوات الصحية,2024-08-28,شركة الخضري للمقاولات,الحدود الشمالية,Medium
635,اللياسة الخارجية,2024-11-30,شركة دريك آند سكل,الحدود الشمالية,High
636,اللياسة الداخلية,2022-01-12,شركة المباني,الباحة,High
637,تبليط الحوش والأسوار,2024-02-01,شركة جرير للمقاولات,تبوك,Low
638,صب سقف الدور الأرضي,2024-04-19,مجموعة بن لادن السعودية,تبوك,High
639,صب الخرسانة العادية للأساسات,2024-02-03,مجموعة بن لادن السعودية,الباحة,Medium
640,تركيب الأدوات الصحية,2022-08-04,مجموعة بن لادن السعودية,القصيم,Low
641,اللياسة الداخلية,2024-04-20,شركة العيوني للاستثمار والمقاولات,الرياض,Medium
642,أعمال الحفر والردم,2022-09-09,شركة العيوني للاستثمار والمقاولات,الرياض,Medium
643,تركيب البلاط والرخام,2024-03-23,مجموعة بن لادن السعودية,الحدود الشمالية,Low
644,صب أعمدة الدور الأرضي,2022-07-08,شركة المباني,المدينة المنورة,Medium
645,أعمال الديكور والجبس,2022-11-29,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,Medium
646,أعمال الدهانات الأولية,2022-12-15,شركة نسما للمقاولات,الحدود الشمالية,Medium
647,عزل القواعد والرقاب,2024-09-16,شركة شابورجي بالونجي,حائل,Medium
648,عزل القواعد والرقاب,2023-08-20,شركة العيوني للاستثمار والمقاولات,الرياض,Low
649,أعمال الديكور والجبس,2023-01-27,شركة روشن العقارية,المنطقة الشرقية,Medium
650,صب الخرسانة المسلحة للقواعد,2024-07-12,مؤسسة بن سمار للمقاولات,الرياض,High
651,تركيب الأدوات الصحية,2024-09-10,شركة الخضري للمقاولات,الجوف,Low
652,بناء جدران القبو,2023-12-17,شركة جرير للمقاولات,عسير,High
653,تركيب المصاعد,2024-01-13,شركة الخضري للمقاولات,الحدود الشمالية,Medium
654,الدهانات النهائية,2024-06-26,شركة الخضري للمقاولات,الحدود الشمالية,Medium
655,عزل القواعد والرقاب,2022-09-11,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,Low
656,تركيب الواجهات الزجاجية,2023-09-22,شركة الكفاح للمقاولات,نجران,Medium
657,الدهانات النهائية,2023-04-04,شركة الخضري للمقاولات,القصيم,Medium
658,تركيب الواجهات الزجاجية,2023-09-20,شركة جرير للمقاولات,مكة المكرمة,High
659,تركيب الأدوات الصحية,2022-05-03,شركة راشد الراشد,الرياض,High
660,تبليط الحوش والأسوار,2024-08-02,شركة دريك آند سكل,نجران,Medium
661,أعمال الحفر والردم,2024-01-08,شركة البحر الأحمر الدولية,المدينة المنورة,Medium
662,أعمال العزل المائي للسطح,2024-07-28,شركة الخضري للمقاولات,المنطقة الشرقية,Low
663,اللياسة الداخلية,2023-11-17,شركة جرير للمقاولات,الحدود الشمالية,High
664,أعمال الدهانات الأولية,2023-07-13,شركة شابورجي بالونجي,جازان,Medium
665,تركيب البلاط والرخام,2024-05-11,شركة البحر الأحمر الدولية,تبوك,Medium
666,أعمال الديكور والجبس,2023-05-28,شركة روشن العقارية,حائل,Medium
667,تركيب المصاعد,2024-11-22,شركة المباني,الحدود الشمالية,High
668,أعمال اللاندسكيب والتشجير,2022-05-17,شركة دريك آند سكل,عسير,Medium
669,تأسيس السباكة والكهرباء,2024-05-21,شركة الفوزان للتجارة والمقاولات,الرياض,Medium
670,أعمال العزل المائي للسطح,2024-01-28,شركة نسما للمقاولات,جازان,Low
671,أعمال التكييف المركزي,2022-01-02,شركة المباني,الرياض,High
672,تأسيس السباكة والكهرباء,2024-05-28,شركة البحر الأحمر الدولية,مكة المكرمة,Medium
673,أعمال اللاندسكيب والتشجير,2023-10-22,شركة الخضري للمقاولات,الباحة,High
674,أعمال المباني (الطوب),2024-12-29,شركة دريك آند سكل,الباحة,Low
675,تركيب البلاط والرخام,2022-03-29,مجموعة بن لادن السعودية,عسير,Medium
676,تركيب الأدوات الصحية,2024-07-09,شركة نسما للمقاولات,الباحة,Medium
677,أعمال العزل المائي للسطح,2022-12-07,شركة الفوزان للتجارة والمقاولات,مكة المكرمة,High
678,أعمال الدهانات الأولية,2022-12-15,شركة دريك آند سكل,المدينة المنورة,Low
679,تبليط الحوش والأسوار,2024-01-09,شركة الفنار,تبوك,Medium
680,أعمال اللاندسكيب والتشجير,2022-08-02,شركة البحر الأحمر الدولية,الجوف,Medium
681,أعمال العزل المائي للسطح,2023-12-05,شركة المباني,عسير,High
682,أعمال الديكور والجبس,2024-08-14,شركة العيوني للاستثمار والمقاولات,الرياض,High
683,تركيب النوافذ والأبواب,2022-05-06,مجموعة بن لادن السعودية,القصيم,High
684,صب أعمدة الدور الأرضي,2022-02-11,شركة جرير للمقاولات,حائل,Medium
685,صب الخرسانة المسلحة للقواعد,2024-06-08,شركة نسما للمقاولات,حائل,Medium
686,صب أعمدة الدور الأرضي,2022-06-25,شركة جرير للمقاولات,تبوك,Medium
687,تركيب الأدوات الصحية,2023-02-12,شركة المقاولون العرب,الرياض,High
688,أعمال اللاندسكيب والتشجير,2023-12-21,شركة المباني,المنطقة الشرقية,Medium
689,أعمال المباني (الطوب),2024-02-16,شركة الخضري للمقاولات,الرياض,Medium
690,تركيب الأدوات الصحية,2024-06-16,شركة البحر الأحمر الدولية,الحدود الشمالية,Low
691,أعمال اللاندسكيب والتشجير,2023-06-09,مجموعة بن لادن السعودية,عسير,High
692,تركيب الأدوات الصحية,2022-03-23,مؤسسة بن سمار للمقاولات,القصيم,Medium
693,تركيب البلاط والرخام,2024-04-28,شركة المباني,القصيم,Medium
694,أعمال الدهانات الأولية,2024-06-16,شركة الفوزان للتجارة والمقاولات,عسير,Low
695,صب سقف الدور الأرضي,2023-10-11,شركة الفنار,المنطقة الشرقية,Medium
696,تركيب أنظمة الحريق,2024-06-07,شركة راشد الراشد,حائل,Medium
697,تركيب الواجهات الزجاجية,2022-04-29,شركة الكفاح للمقاولات,المنطقة الشرقية,High
698,أعمال الديكور والجبس,2022-04-22,شركة العيوني للاستثمار والمقاولات,القصيم,Low
699,تركيب الواجهات الزجاجية,2023-10-28,شركة نسما للمقاولات,تبوك,Medium
700,صب أعمدة الدور الأرضي,2024-04-05,شركة المقاولون العرب,نجران,Medium
701,الدهانات النهائية,2023-02-14,شركة راشد الراشد,المنطقة الشرقية,Medium
702,أعمال الدهانات الأولية,2024-09-18,شركة أرامكو السعودية (إشراف/تنفيذ),نجران,Medium
703,صب سقف الدور الأرضي,2023-07-02,شركة الخضري للمقاولات,الحدود الشمالية,Medium
704,الدهانات النهائية,2023-02-27,شركة دريك آند سكل,المنطقة الشرقية,Low
705,تركيب أنظمة الحريق,2024-09-25,شركة شابورجي بالونجي,نجران,Medium
706,تركيب الأدوات الصحية,2022-05-07,شركة الفنار,المنطقة الشرقية,High
707,صب الخرسانة العادية للأساسات,2023-07-29,شركة روشن العقارية,الجوف,Medium
708,الدهانات النهائية,2024-11-16,شركة الفنار,المنطقة الشرقية,Low
709,أعمال الدهانات الأولية,2024-07-21,شركة أرامكو السعودية (إشراف/تنفيذ),الحدود الشمالية,Low
710,عزل القواعد والرقاب,2023-01-25,شركة الفوزان للتجارة والمقاولات,الباحة,High
711,صب أعمدة الدور الأرضي,2024-08-21,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,High
712,الدهانات النهائية,2023-04-04,شركة شابورجي بالونجي,مكة المكرمة,Medium
713,تركيب أنظمة الحريق,2023-05-23,شركة الفوزان للتجارة والمقاولات,الرياض,Medium
714,أعمال اللاندسكيب والتشجير,2022-02-17,شركة المقاولون العرب,الحدود الشمالية,Medium
715,أعمال اللاندسكيب والتشجير,2023-04-01,شركة الفنار,مكة المكرمة,Low
716,تركيب النوافذ والأبواب,2023-12-30,شركة المباني,نجران,High
717,اللياسة الداخلية,2023-11-18,شركة أرامكو السعودية (إشراف/تنفيذ),مكة المكرمة,Low
718,أعمال اللاندسكيب والتشجير,2022-03-17,شركة الفنار,مكة المكرمة,Medium
719,صب سقف الدور الأرضي,2024-12-15,شركة دريك آند سكل,حائل,Medium
720,تأسيس السباكة والكهرباء,2024-06-30,شركة دريك آند سكل,مكة المكرمة,High
721,تركيب الواجهات الزجاجية,2024-12-13,شركة جرير للمقاولات,تبوك,Medium
722,تركيب النوافذ والأبواب,2022-01-11,شركة الفوزان للتجارة والمقاولات,الرياض,Low
723,صب الخرسانة المسلحة للقواعد,2023-03-27,مؤسسة بن سمار للمقاولات,عسير,Medium
724,أعمال المباني (الطوب),2024-08-27,شركة الكفاح للمقاولات,مكة المكرمة,Low
725,الدهانات النهائية,2024-01-14,شركة المباني,الباحة,Low
726,تبليط الحوش والأسوار,2024-10-02,مجموعة بن لادن السعودية,حائل,Low
727,أعمال الدهانات الأولية,2022-11-07,شركة راشد الراشد,تبوك,Medium
728,صب سقف الدور الأرضي,2022-08-28,شركة جرير للمقاولات,القصيم,Medium
729,أعمال التكييف المركزي,2023-07-24,شركة الفوزان للتجارة والمقاولات,جازان,High
730,تركيب أنظمة الحريق,2023-09-20,مجموعة بن لادن السعودية,مكة المكرمة,Medium
731,تركيب الأدوات الصحية,2022-07-14,شركة راشد الراشد,تبوك,Low
732,أعمال الديكور والجبس,2022-05-21,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,High
733,اللياسة الداخلية,2024-03-25,شركة المقاولون العرب,الباحة,Medium
734,تركيب النوافذ والأبواب,2024-07-31,شركة السيف للمقاولات الهندسية,مكة المكرمة,Medium
735,أعمال اللاندسكيب والتشجير,2022-05-08,شركة البحر الأحمر الدولية,الباحة,Medium
736,أعمال اللاندسكيب والتشجير,2024-11-03,شركة جرير للمقاولات,مكة المكرمة,High
737,أعمال اللاندسكيب والتشجير,2024-08-08,مؤسسة بن سمار للمقاولات,الجوف,Medium
738,تركيب الواجهات الزجاجية,2024-05-07,شركة الفوزان للتجارة والمقاولات,القصيم,High
739,اللياسة الخارجية,2023-03-14,مجموعة بن لادن السعودية,حائل,High
740,أعمال المباني (الطوب),2024-10-15,شركة نسما للمقاولات,الباحة,Medium
741,أعمال الديكور والجبس,2022-03-09,شركة راشد الراشد,تبوك,Medium
742,تركيب أنظمة الحريق,2024-06-29,شركة السيف للمقاولات الهندسية,نجران,Medium
743,تركيب الأدوات الصحية,2022-11-14,مؤسسة بن سمار للمقاولات,جازان,High
744,الدهانات النهائية,2023-06-03,شركة روشن العقارية,القصيم,Medium
745,أعمال العزل المائي للسطح,2022-10-12,شركة روشن العقارية,القصيم,High
746,أعمال الديكور والجبس,2023-04-19,شركة المباني,المدينة المنورة,Low
747,تركيب أنظمة الحريق,2022-05-08,شركة السيف للمقاولات الهندسية,نجران,Medium
748,اللياسة الداخلية,2024-06-14,مجموعة بن لادن السعودية,عسير,Medium
749,صب أعمدة الدور الأرضي,2022-08-13,شركة جرير للمقاولات,مكة المكرمة,Medium
750,أعمال المباني (الطوب),2022-03-25,شركة شابورجي بالونجي,الجوف,Low
751,أعمال المباني (الطوب),2022-03-19,شركة المباني,مكة المكرمة,Medium
752,صب أعمدة الدور الأرضي,2023-06-05,شركة نسما للمقاولات,القصيم,High
753,أعمال العزل المائي للسطح,2024-04-29,شركة الفنار,نجران,Medium
754,أعمال اللاندسكيب والتشجير,2022-06-24,شركة شابورجي بالونجي,القصيم,High
755,أعمال التكييف المركزي,2022-08-25,شركة البحر الأحمر الدولية,حائل,High
756,اللياسة الداخلية,2023-01-26,شركة البحر الأحمر الدولية,جازان,High
757,بناء جدران القبو,2024-10-26,شركة المقاولون العرب,تبوك,High
758,تركيب أنظمة الحريق,2025-01-02,شركة روشن العقارية,الباحة,Low
759,أعمال التكييف المركزي,2024-11-06,شركة روشن العقارية,نجران,High
760,اللياسة الخارجية,2023-05-29,شركة روشن العقارية,جازان,Medium
761,تركيب الواجهات الزجاجية,2022-05-17,شركة نسما للمقاولات,عسير,Medium
762,تركيب الواجهات الزجاجية,2022-04-17,شركة البحر الأحمر الدولية,جازان,Medium
763,تركيب البلاط والرخام,2022-09-27,شركة شابورجي بالونجي,المنطقة الشرقية,Medium
764,تركيب الأدوات الصحية,2022-05-08,شركة الكفاح للمقاولات,الباحة,Low
765,اللياسة الخارجية,2023-02-20,شركة راشد الراشد,المدينة المنورة,Low
766,صب الخرسانة المسلحة للقواعد,2024-02-18,شركة الفنار,الرياض,Medium
767,أعمال الديكور والجبس,2024-12-24,شركة الفوزان للتجارة والمقاولات,مكة المكرمة,Medium
768,أعمال الديكور والجبس,2023-08-24,شركة نسما للمقاولات,عسير,High
769,تركيب البلاط والرخام,2023-03-25,شركة العيوني للاستثمار والمقاولات,نجران,Medium
770,عزل القواعد والرقاب,2024-11-15,شركة الفوزان للتجارة والمقاولات,مكة المكرمة,Low
771,تركيب أنظمة الحريق,2022-02-25,شركة نسما للمقاولات,الحدود الشمالية,Medium
772,تركيب الواجهات الزجاجية,2022-11-30,شركة نسما للمقاولات,الرياض,Medium
773,أعمال المباني (الطوب),2023-01-02,شركة الخضري للمقاولات,عسير,Medium
774,تبليط الحوش والأسوار,2022-11-03,شركة الكفاح للمقاولات,القصيم,Low
775,صب الخرسانة العادية للأساسات,2024-04-26,شركة المباني,تبوك,High
776,صب أعمدة الدور الأرضي,2024-03-26,شركة البحر الأحمر الدولية,جازان,Medium
777,تركيب أنظمة الحريق,2023-05-27,شركة العيوني للاستثمار والمقاولات,القصيم,High
778,صب الخرسانة المسلحة للقواعد,2022-09-19,شركة الفنار,الباحة,Medium
779,صب سقف الدور الأرضي,2022-10-06,شركة الخضري للمقاولات,مكة المكرمة,Medium
780,اللياسة الداخلية,2024-10-02,شركة راشد الراشد,جازان,Low
781,أعمال المباني (الطوب),2024-02-15,مؤسسة بن سمار للمقاولات,الرياض,Medium
782,تركيب النوافذ والأبواب,2023-03-15,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,Medium
783,تأسيس السباكة والكهرباء,2023-05-08,شركة نسما للمقاولات,مكة المكرمة,Low
784,بناء جدران القبو,2022-12-16,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,Low
785,أعمال الديكور والجبس,2023-05-18,شركة العيوني للاستثمار والمقاولات,الجوف,Medium
786,تركيب أنظمة الحريق,2024-10-07,شركة السيف للمقاولات الهندسية,الحدود الشمالية,Low
787,أعمال العزل المائي للسطح,2024-08-26,شركة السيف للمقاولات الهندسية,تبوك,High
788,الدهانات النهائية,2023-09-13,شركة العيوني للاستثمار والمقاولات,الجوف,Medium
789,تأسيس السباكة والكهرباء,2024-12-10,شركة راشد الراشد,مكة المكرمة,Low
790,اللياسة الداخلية,2022-08-06,مجموعة بن لادن السعودية,الباحة,Low
791,صب سقف الدور الأرضي,2024-03-04,شركة نسما للمقاولات,الباحة,High
792,أعمال الدهانات الأولية,2022-12-06,مؤسسة بن سمار للمقاولات,جازان,Low
793,تركيب أنظمة الحريق,2023-04-17,شركة شابورجي بالونجي,القصيم,Medium
794,صب الخرسانة العادية للأساسات,2024-07-12,شركة البحر الأحمر الدولية,حائل,Medium
795,صب الخرسانة العادية للأساسات,2022-08-01,شركة المقاولون العرب,الحدود الشمالية,High
796,تركيب البلاط والرخام,2022-05-05,شركة جرير للمقاولات,تبوك,Medium
797,تركيب المصاعد,2023-07-27,شركة جرير للمقاولات,القصيم,High
798,أعمال اللاندسكيب والتشجير,2022-07-03,شركة المباني,جازان,Low
799,تأسيس السباكة والكهرباء,2022-02-11,شركة شابورجي بالونجي,الرياض,Medium
800,أعمال الحفر والردم,2023-12-30,شركة الكفاح للمقاولات,تبوك,High
801,أعمال التكييف المركزي,2024-03-01,شركة البحر الأحمر الدولية,نجران,Medium
802,أعمال العزل المائي للسطح,2022-02-09,شركة راشد الراشد,الحدود الشمالية,High
803,اللياسة الخارجية,2023-03-17,شركة أرامكو السعودية (إشراف/تنفيذ),مكة المكرمة,Low
804,تركيب أنظمة الحريق,2024-03-24,شركة الكفاح للمقاولات,حائل,Low
805,تأسيس السباكة والكهرباء,2024-06-05,شركة شابورجي بالونجي,الحدود الشمالية,High
806,صب الخرسانة العادية للأساسات,2022-11-05,شركة راشد الراشد,المدينة المنورة,High
807,اللياسة الخارجية,2024-10-29,شركة روشن العقارية,الباحة,Low
808,صب الخرسانة العادية للأساسات,2023-04-20,شركة شابورجي بالونجي,جازان,Medium
809,أعمال الحفر والردم,2023-09-07,شركة جرير للمقاولات,الباحة,Low
810,أعمال الديكور والجبس,2024-03-28,شركة الكفاح للمقاولات,المنطقة الشرقية,High
811,أعمال الديكور والجبس,2023-02-12,شركة الفوزان للتجارة والمقاولات,جازان,High
812,صب الخرسانة العادية للأساسات,2023-08-28,شركة روشن العقارية,القصيم,Medium
813,بناء جدران القبو,2022-09-08,شركة العيوني للاستثمار والمقاولات,الرياض,Low
814,بناء جدران القبو,2023-08-25,شركة السيف للمقاولات الهندسية,جازان,Low
815,تركيب الأدوات الصحية,2023-04-12,شركة جرير للمقاولات,حائل,Low
816,أعمال الديكور والجبس,2022-05-16,شركة روشن العقارية,الحدود الشمالية,High
817,تبليط الحوش والأسوار,2022-04-28,شركة المقاولون العرب,تبوك,Low
818,تركيب النوافذ والأبواب,2023-09-26,شركة المباني,الرياض,High
819,أعمال الدهانات الأولية,2023-12-01,شركة شابورجي بالونجي,الحدود الشمالية,Medium
820,صب الخرسانة المسلحة للقواعد,2023-02-13,شركة الكفاح للمقاولات,حائل,Medium
821,صب أعمدة الدور الأرضي,2023-02-08,شركة المباني,حائل,Medium
822,تركيب البلاط والرخام,2023-06-04,شركة المباني,جازان,Low
823,أعمال الديكور والجبس,2022-09-20,مؤسسة بن سمار للمقاولات,القصيم,High
824,اللياسة الخارجية,2022-09-14,شركة السيف للمقاولات الهندسية,المدينة المنورة,High
825,صب الخرسانة المسلحة للقواعد,2023-10-02,شركة جرير للمقاولات,الجوف,Medium
826,صب سقف الدور الأرضي,2023-03-17,شركة الفوزان للتجارة والمقاولات,جازان,High
827,صب سقف الدور الأرضي,2022-06-14,شركة روشن العقارية,عسير,Medium
828,تركيب الواجهات الزجاجية,2023-11-06,شركة الخضري للمقاولات,القصيم,Medium
829,بناء جدران القبو,2024-01-16,شركة دريك آند سكل,القصيم,Low
830,صب الخرسانة المسلحة للقواعد,2022-07-05,شركة راشد الراشد,الحدود الشمالية,High
831,صب الخرسانة المسلحة للقواعد,2023-07-18,مجموعة بن لادن السعودية,الحدود الشمالية,High
832,صب الخرسانة المسلحة للقواعد,2023-11-11,شركة السيف للمقاولات الهندسية,عسير,High
833,الدهانات النهائية,2023-03-22,مجموعة بن لادن السعودية,المدينة المنورة,Medium
834,تركيب البلاط والرخام,2024-03-16,شركة نسما للمقاولات,عسير,Medium
835,الدهانات النهائية,2024-12-13,شركة دريك آند سكل,الجوف,Medium
836,أعمال العزل المائي للسطح,2023-07-21,شركة الكفاح للمقاولات,الحدود الشمالية,Medium
837,اللياسة الداخلية,2022-10-16,شركة شابورجي بالونجي,الجوف,Low
838,تركيب المصاعد,2024-06-05,شركة السيف للمقاولات الهندسية,عسير,Low
839,اللياسة الخارجية,2023-09-24,شركة الفوزان للتجارة والمقاولات,جازان,Medium
840,أعمال الدهانات الأولية,2022-10-04,شركة المقاولون العرب,تبوك,Medium
841,تركيب الأدوات الصحية,2024-12-11,شركة روشن العقارية,الباحة,Medium
842,أعمال الدهانات الأولية,2024-07-04,شركة الخضري للمقاولات,عسير,Low
843,صب أعمدة الدور الأرضي,2024-09-21,شركة الفنار,الرياض,Medium
844,أعمال الدهانات الأولية,2023-10-12,مجموعة بن لادن السعودية,القصيم,Low
845,أعمال الدهانات الأولية,2023-05-07,شركة الفنار,حائل,Medium
846,صب أعمدة الدور الأرضي,2022-04-05,شركة الفوزان للتجارة والمقاولات,حائل,Medium
847,أعمال الحفر والردم,2022-05-08,شركة نسما للمقاولات,المنطقة الشرقية,Medium
848,أعمال الدهانات الأولية,2023-07-16,شركة العيوني للاستثمار والمقاولات,المدينة المنورة,Medium
849,أعمال اللاندسكيب والتشجير,2022-05-08,شركة الفوزان للتجارة والمقاولات,عسير,Medium
850,تركيب المصاعد,2023-01-13,شركة الخضري للمقاولات,تبوك,Low
851,أعمال التكييف المركزي,2023-01-06,شركة شابورجي بالونجي,تبوك,High
852,صب الخرسانة العادية للأساسات,2022-10-23,شركة الكفاح للمقاولات,المدينة المنورة,Medium
853,أعمال الديكور والجبس,2023-12-04,شركة دريك آند سكل,المدينة المنورة,High
854,بناء جدران القبو,2024-10-06,شركة شابورجي بالونجي,عسير,Low
855,عزل القواعد والرقاب,2024-12-20,شركة الخضري للمقاولات,الرياض,High
856,أعمال اللاندسكيب والتشجير,2024-05-20,شركة شابورجي بالونجي,حائل,Low
857,تأسيس السباكة والكهرباء,2024-05-28,مجموعة بن لادن السعودية,القصيم,Medium
858,عزل القواعد والرقاب,2022-04-23,شركة روشن العقارية,الجوف,Low
859,صب سقف الدور الأرضي,2023-02-15,مجموعة بن لادن السعودية,الرياض,High
860,أعمال الحفر والردم,2023-12-31,مؤسسة بن سمار للمقاولات,مكة المكرمة,Low
861,صب أعمدة الدور الأرضي,2022-02-03,شركة جرير للمقاولات,القصيم,High
862,أعمال العزل المائي للسطح,2024-12-07,شركة البحر الأحمر الدولية,الرياض,Low
863,تركيب النوافذ والأبواب,2023-10-02,شركة أرامكو السعودية (إشراف/تنفيذ),الحدود الشمالية,Low
864,أعمال التكييف المركزي,2023-07-14,شركة الكفاح للمقاولات,المدينة المنورة,High
865,صب الخرسانة العادية للأساسات,2022-01-02,شركة المباني,عسير,High
866,تركيب الأدوات الصحية,2024-11-20,شركة المباني,مكة المكرمة,High
867,تركيب المصاعد,2023-10-31,شركة روشن العقارية,حائل,High
868,صب سقف الدور الأرضي,2022-04-29,شركة المباني,حائل,High
869,أعمال الديكور والجبس,2023-06-22,شركة جرير للمقاولات,جازان,Medium
870,أعمال الدهانات الأولية,2023-11-06,شركة المباني,القصيم,Medium
871,تركيب البلاط والرخام,2023-07-11,شركة شابورجي بالونجي,الرياض,Low
872,أعمال الحفر والردم,2023-11-20,شركة نسما للمقاولات,حائل,High
873,تركيب الواجهات الزجاجية,2024-12-23,شركة روشن العقارية,المدينة المنورة,Medium
874,أعمال الدهانات الأولية,2023-12-10,شركة الكفاح للمقاولات,نجران,Medium
875,تركيب المصاعد,2022-01-27,شركة راشد الراشد,الباحة,Medium
876,تأسيس السباكة والكهرباء,2022-02-14,شركة راشد الراشد,الباحة,Low
877,بناء جدران القبو,2022-09-20,شركة دريك آند سكل,مكة المكرمة,High
878,أعمال التكييف المركزي,2022-01-11,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,High
879,اللياسة الخارجية,2022-04-12,شركة المباني,الرياض,Medium
880,أعمال الدهانات الأولية,2024-05-11,شركة جرير للمقاولات,مكة المكرمة,Low
881,بناء جدران القبو,2023-04-10,شركة جرير للمقاولات,تبوك,Medium
882,أعمال الدهانات الأولية,2024-06-27,شركة الكفاح للمقاولات,الجوف,Low
883,تركيب النوافذ والأبواب,2022-10-28,شركة راشد الراشد,حائل,Low
884,أعمال الحفر والردم,2023-10-26,شركة السيف للمقاولات الهندسية,تبوك,Medium
885,الدهانات النهائية,2022-01-03,شركة الخضري للمقاولات,الحدود الشمالية,Medium
886,صب أعمدة الدور الأرضي,2022-09-26,مؤسسة بن سمار للمقاولات,حائل,High
887,تبليط الحوش والأسوار,2024-01-17,شركة الفوزان للتجارة والمقاولات,عسير,High
888,تأسيس السباكة والكهرباء,2022-08-18,مجموعة بن لادن السعودية,الباحة,High
889,تأسيس السباكة والكهرباء,2023-03-05,شركة الكفاح للمقاولات,الجوف,Medium
890,صب الخرسانة العادية للأساسات,2023-12-30,شركة دريك آند سكل,تبوك,Medium
891,أعمال اللاندسكيب والتشجير,2023-02-22,شركة العيوني للاستثمار والمقاولات,القصيم,High
892,تأسيس السباكة والكهرباء,2024-01-09,شركة شابورجي بالونجي,عسير,Low
893,تركيب الواجهات الزجاجية,2023-07-03,شركة الفنار,المدينة المنورة,High
894,بناء جدران القبو,2022-06-05,شركة الفوزان للتجارة والمقاولات,جازان,Medium
895,أعمال الدهانات الأولية,2024-03-20,شركة السيف للمقاولات الهندسية,تبوك,Medium
896,الدهانات النهائية,2024-03-01,شركة أرامكو السعودية (إشراف/تنفيذ),الباحة,Low
897,صب أعمدة الدور الأرضي,2023-12-09,شركة البحر الأحمر الدولية,الجوف,Medium
898,عزل القواعد والرقاب,2022-11-26,شركة دريك آند سكل,جازان,Low
899,اللياسة الخارجية,2024-04-05,مؤسسة بن سمار للمقاولات,جازان,Low
